model-1724421432,1724421440.331, 0.55, 0.2433, 0.66, 0.2244
model-1724421432,1724421440.383, 0.54, 0.2503, 0.61, 0.2402
model-1724421432,1724421440.442, 0.65, 0.2266, 0.54, 0.2444
model-1724421432,1724421440.494, 0.69, 0.2158, 0.53, 0.255
model-1724421432,1724421440.549, 0.45, 0.2761, 0.49, 0.2543
model-1724421432,1724421440.607, 0.64, 0.232, 0.63, 0.2351
model-1724421432,1724421440.67, 0.69, 0.2203, 0.59, 0.2423
model-1724421432,1724421440.732, 0.57, 0.2396, 0.69, 0.2259
model-1724421432,1724421440.834, 0.67, 0.2247, 0.64, 0.2253
model-1724421432,1724421440.9, 0.68, 0.2303, 0.65, 0.2235
model-1724421432,1724421440.956, 0.57, 0.2371, 0.64, 0.2205
model-1724421432,1724421441.015, 0.61, 0.2431, 0.65, 0.2286
model-1724421432,1724421441.073, 0.56, 0.2354, 0.62, 0.2345
model-1724421432,1724421441.129, 0.57, 0.2388, 0.64, 0.2257
model-1724421432,1724421441.184, 0.62, 0.2445, 0.63, 0.2309
model-1724421432,1724421441.247, 0.65, 0.2234, 0.63, 0.225
model-1724421432,1724421441.302, 0.64, 0.2267, 0.66, 0.2224
model-1724421432,1724421441.364, 0.59, 0.2369, 0.53, 0.2457
model-1724421432,1724421441.418, 0.66, 0.2223, 0.59, 0.2239
model-1724421432,1724421441.473, 0.67, 0.2277, 0.62, 0.2351
model-1724421432,1724421441.527, 0.64, 0.2198, 0.67, 0.2217
model-1724421432,1724421441.583, 0.61, 0.2285, 0.68, 0.2123
model-1724421432,1724421441.637, 0.65, 0.2279, 0.68, 0.2077
model-1724421432,1724421441.692, 0.62, 0.2296, 0.65, 0.2153
model-1724421432,1724421441.749, 0.59, 0.2411, 0.61, 0.2311
model-1724421432,1724421441.804, 0.61, 0.2361, 0.66, 0.2122
model-1724421432,1724421441.861, 0.49, 0.2478, 0.57, 0.2401
model-1724421432,1724421441.926, 0.64, 0.2216, 0.66, 0.2152
model-1724421432,1724421441.985, 0.66, 0.2207, 0.63, 0.2329
model-1724421432,1724421442.042, 0.6, 0.228, 0.63, 0.2299
model-1724421432,1724421442.1, 0.63, 0.2287, 0.57, 0.243
model-1724421432,1724421442.158, 0.57, 0.2256, 0.65, 0.2269
model-1724421432,1724421442.215, 0.61, 0.222, 0.66, 0.2045
model-1724421432,1724421442.27, 0.66, 0.2208, 0.68, 0.2117
model-1724421432,1724421442.324, 0.64, 0.2243, 0.59, 0.2346
model-1724421432,1724421442.382, 0.62, 0.2235, 0.65, 0.2256
model-1724421432,1724421442.439, 0.6, 0.2161, 0.64, 0.2316
model-1724421432,1724421442.5, 0.62, 0.2204, 0.54, 0.2615
model-1724421432,1724421442.555, 0.63, 0.2295, 0.68, 0.1995
model-1724421432,1724421442.61, 0.63, 0.2213, 0.72, 0.206
model-1724421432,1724421442.665, 0.65, 0.2157, 0.61, 0.2332
model-1724421432,1724421442.719, 0.68, 0.2077, 0.66, 0.2035
model-1724421432,1724421442.776, 0.7, 0.191, 0.62, 0.2325
model-1724421432,1724421442.829, 0.56, 0.2494, 0.7, 0.2059
model-1724421432,1724421442.894, 0.71, 0.2054, 0.58, 0.2391
model-1724421432,1724421442.953, 0.56, 0.2432, 0.59, 0.231
model-1724421432,1724421443.009, 0.7, 0.2085, 0.68, 0.2032
model-1724421432,1724421443.062, 0.68, 0.2008, 0.61, 0.2305
model-1724421432,1724421443.117, 0.63, 0.2156, 0.63, 0.2146
model-1724421432,1724421443.171, 0.66, 0.2262, 0.64, 0.2303
model-1724421432,1724421443.237, 0.62, 0.2273, 0.47, 0.2755
model-1724421432,1724421443.291, 0.56, 0.2437, 0.67, 0.194
model-1724421432,1724421443.348, 0.57, 0.2467, 0.66, 0.2212
model-1724421432,1724421443.404, 0.54, 0.2535, 0.63, 0.2182
model-1724421432,1724421443.458, 0.52, 0.254, 0.61, 0.2299
model-1724421432,1724421443.512, 0.6, 0.2413, 0.6, 0.2347
model-1724421432,1724421443.567, 0.56, 0.2484, 0.63, 0.2218
model-1724421432,1724421443.621, 0.6, 0.2278, 0.56, 0.2385
model-1724421432,1724421443.677, 0.6, 0.2226, 0.56, 0.2501
model-1724421432,1724421443.731, 0.57, 0.2444, 0.59, 0.2433
model-1724421432,1724421443.791, 0.6, 0.2235, 0.6, 0.2271
model-1724421432,1724421443.845, 0.64, 0.2277, 0.57, 0.2417
model-1724421432,1724421443.9, 0.63, 0.225, 0.67, 0.2215
model-1724421432,1724421443.956, 0.68, 0.2304, 0.65, 0.2372
model-1724421432,1724421444.013, 0.69, 0.2162, 0.6, 0.2401
model-1724421432,1724421444.068, 0.62, 0.2284, 0.52, 0.2532
model-1724421432,1724421444.132, 0.58, 0.2321, 0.66, 0.2235
model-1724421432,1724421444.188, 0.63, 0.2152, 0.66, 0.2229
model-1724421432,1724421444.244, 0.7, 0.2183, 0.65, 0.2177
model-1724421432,1724421444.3, 0.52, 0.2597, 0.67, 0.2082
model-1724421432,1724421444.357, 0.62, 0.2329, 0.49, 0.2695
model-1724421432,1724421444.412, 0.56, 0.2396, 0.64, 0.2126
model-1724421432,1724421444.468, 0.55, 0.2452, 0.58, 0.2278
model-1724421432,1724421444.522, 0.58, 0.2282, 0.63, 0.2208
model-1724421432,1724421444.579, 0.58, 0.2477, 0.63, 0.2291
model-1724421432,1724421444.632, 0.56, 0.2363, 0.6, 0.2324
model-1724421432,1724421444.687, 0.62, 0.2236, 0.73, 0.2019
model-1724421432,1724421444.741, 0.6, 0.2258, 0.68, 0.2131
model-1724421432,1724421444.796, 0.61, 0.2277, 0.59, 0.2355
model-1724421432,1724421444.851, 0.66, 0.2281, 0.59, 0.235
model-1724421432,1724421444.913, 0.68, 0.2289, 0.53, 0.2448
model-1724421432,1724421444.967, 0.67, 0.2224, 0.66, 0.2118
model-1724421432,1724421445.022, 0.6, 0.236, 0.58, 0.2344
model-1724421432,1724421445.077, 0.57, 0.2379, 0.62, 0.2295
model-1724421432,1724421445.133, 0.61, 0.2358, 0.66, 0.216
model-1724421432,1724421445.186, 0.67, 0.2255, 0.64, 0.2246
model-1724421432,1724421445.241, 0.64, 0.2244, 0.64, 0.2247
model-1724421432,1724421445.296, 0.62, 0.2306, 0.61, 0.2279
model-1724421432,1724421445.352, 0.63, 0.2308, 0.65, 0.2215
model-1724421432,1724421445.405, 0.66, 0.2121, 0.67, 0.2141
model-1724421432,1724421445.462, 0.62, 0.2253, 0.68, 0.2114
model-1724421432,1724421445.517, 0.64, 0.2297, 0.71, 0.2137
model-1724421432,1724421445.571, 0.61, 0.237, 0.57, 0.242
model-1724421432,1724421445.625, 0.63, 0.2279, 0.65, 0.2089
model-1724421432,1724421445.69, 0.59, 0.2349, 0.49, 0.2623
model-1724421432,1724421445.75, 0.59, 0.2319, 0.66, 0.2228
model-1724421432,1724421445.806, 0.58, 0.25, 0.64, 0.2186
model-1724421432,1724421445.869, 0.62, 0.2313, 0.66, 0.234
model-1724421432,1724421445.929, 0.58, 0.2341, 0.59, 0.2472
model-1724421432,1724421445.983, 0.61, 0.2251, 0.61, 0.2479
model-1724421432,1724421446.039, 0.54, 0.2561, 0.72, 0.199
model-1724421432,1724421446.092, 0.7, 0.1993, 0.57, 0.2395
